Status,App,Alias,Security domain,impact,Affected,Ratio,Security check,Description,Info,Remediation,SOC 2 TYPE 2 2009,SOC 2 TYPE 2,Health Insurance Portability and Accountability Act (HIPAA),ISO/IEC 27001,Cloud Security Alliance  - Cloud Controls Matrix,ISO/IEC 27001 2022,TIAA Cloud Security Standards,
 Dismissed,Jira,Test,Secure Baseline,High,10,10/12,QA Inactive Admins,You have inactive admins - Sys Admin: on   Site Admin: On. . in jira.Users where on is true or On is true let Presence gt 0 days and Active is true watch [email|"email" site_url|"Site"],Inactive admins should be deactivated - Inactive accounts may appear docile but they can cause damages to an organization  especially when they are not disabled or removed. Outside intruders trying to hack into an organization can use these accounts as their activities will go unnoticed. Also  employees who quit the organization can misuse their login credentials to access resources.,In the Atlassian organization administration  Sites  USER MANAGEMENT-Users  review the Affected list and remove inactive admins, Security→Procedures→"Restriction of access to system configurations  superuser functionality  master passwords  powerful utilities and security devices" (S3.2.g) ;  Security→Procedures→"...enable authorized access and to prevent unauthorized access..." (S3.10) , Logical and Physical Access Controls→...logical access security software  infrastructure  and architectures over protected information assets... (CC6.1) ;  System Operations→...the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities... (CC7.1) ,,,,,,
 Dismissed,Bitbucket,דני,MFA,High,0,0/0,2FA For All Users,2FA is not turned on for all users,Ensure that all users have multi Factor authentication applied. 2FA adds another level of security for your organization.,Require each user from the "Affected" list to enroll from his account Two-step verification.. Clicking his avatar on the left-bottom corner - "Personal Settings" - "Two-step verification" - Enable two-step verification.,,, Technical safeguards→Person or Entity Authentication (164.312(d)) ,,,,,
 Dismissed,LastPass,Yahav test - IF,Password Management,High,1,1/3,Master Password Strength,There are users with weaker master password than 100,Passwords are your first line of defense - make sure user passwords are complex.. LastPass scores user passwords strength between 25 to 100 - an example for a low scored password is a password that meets only the minimal length requirement. 0 score is given when a user never logged in and created a password. The vendor recommends using the following best practices when creating a password:. .   Minimum of 12 characters.   At least one of each upper case  lower case  numeric  symbols and special characters.   Unique (not used anywhere else).   Don't use personal information.   Don't use sequential characters (for example  "1234") or repeated characters (for example  "aaaa").   Randomly generated master password. ,Affected users are users who use weak passwords that are scored by LastPass below {mpstrength}.. Make sure the affected users change their passwords according to the organization's policy or the vendor's recommendation -. Go to https://lastpass.com and log in → Select 'Account Settings' in the left navigation → on the 'General' tab under Login Credentials  select 'Change Master Password' → enter current master password  then create a new master password → click Save Master Password.. ,, Logical and Physical Access Controls→...logical access security software  infrastructure  and architectures over protected information assets... (CC6.1) , Administrative safeguards→Security Awareness and Training→Password Management (164.308(a)(5)) , Access control→System and application access control→Password management system (A.9.4.3) ,,,,
 Dismissed,LastPass,Yahav test - IF,MFA,High,2,2/2,MFA for Admins,MFA is not turned on for all admins,Ensure that admins have multifactor authentication applied.,Enforce global MFA policy: go to https://admin.lastpass.com/ → "Policies" → filter by "Password multifactor" category → choose to enforce a specific MFA provider out of the supported providers in LastPass  based on your organization policy (for example  Google Authenticator) or select "Require use of any MFA option" if no specific second factor provider is enforced in the organization policy → change status to "Enabled" → select "Edit policy users" → checkbox "All users" → click on "Save changes".. If MFA is enforced  and the affected users are excluded  go to "Edit policy users" and remove them from the exclusion list.,, Logical and Physical Access Controls→...logical access security software  infrastructure  and architectures over protected information assets... (CC6.1) , Technical safeguards→Person or Entity Authentication (164.312(d)) ,,,,,
 Dismissed,M365,Yahav - Test OAuth,Data Leakage Protection,High,0,0/12,Users Add-ins Permissions [Exchange],Users installing Outlook add-ins are allowed.,Ensure users installing Outlook add-ins is not allowed.. Attackers commonly use vulnerable and custom-built add-ins to access data in user applications.. While allowing users to install add-ins by themselves does allow them to easily acquire useful add-ins that integrate with Microsoft applications  it can represent a risk if not used and monitored carefully.. Disable future user's ability to install add-ins in Microsoft Outlook helps reduce your threat-surface and mitigate this risk.,Go to Microsoft 365 Admin Center then under Admins Centers select Exchange.. .   Under Roles select User Roles..   Click on the Role Assignment Policy then click on Manage permissions..   De-Select "My Custom Apps" "My Marketplace Apps" and "My ReadWriteMailboxApps".. . This will disable the option of Outlook add-ins to all affected non-admin users.. ,,,,, Threat & Vulnerability Management→Malware Protection Policy and Procedures (TVM-02) , Technological controls→Data leakage prevention  (A.8.12) ,,
 Dismissed,M365,Yahav - Test OAuth,Malware Protection,High,0,0/1,Clickjacking Protection Frame Origin Policy [Exchange],There are no restrictions on displaying Outlook on the web content in a frame,The X-Frame-Options response header is passed as part of the HTTP response of a web page  indicating whether or not a browser should be allowed to render a page inside a FRAME or IFRAME tag.. Clickjacking is an attack that tricks a user into clicking a webpage element that is invisible or disguised as another element. This can cause users to unwittingly download malware  visit malicious web pages  provide credentials or sensitive information  transfer money  or purchase products online.. Typically  clickjacking is performed by displaying an invisible page or HTML element  inside an iframe  on top of the page the user sees. The user believes they are clicking the visible page but in fact they are clicking an invisible element in the additional page transposed on top of it.,Restrict the display of Outlook on the web content only in a frame that has the same origin as the content.. 1. Run Microsoft Online PowerShell Module. 2. Connect using Connect-ExchangeOnline. 3. Run the following Powershell command:. Set-OwaMailboxPolicy -Identity affected policy -WebPartsFrameOptionsType "SameOrigin",,,,, Threat & Vulnerability Management→Malware Protection Policy and Procedures (TVM-02) , Technological controls→Protection against malware (A.8.7) ,,
 Dismissed,M365,Yahav - Test OAuth,Access Control,High,2,2/2,Shared Mailbox Sign-In Shared Mailbox Sign-In [Exchange],There are shared mailboxes with sign-in enabled,Threat actors are constantly looking for mailboxes to take over  either for spam-related activities or to launch highly convincing BEC (Business Email Compromise) scams that can eventually lead to destructive financial outcomes. Shared mailboxes present attackers with an easy entry point into organizations and usually have the following inherent problems:. .   Their audit logs may be turned off or may be misconfigured.   Their passwords are built-in and are static since there’s no one to change them.   MFA is usually not an option because there's no user and no license.   They have no clear owner. . Add enabled legacy protocols to the mix  and you’ve got a great recipe for a long standing take-over campaign.,In the admin center  go to the "Users" - "Active users" In the list of user accounts  find the account for the shared mailbox from the Affected list - open their properties pane  and then select "Block this user" - "Save changes". . Note: If the account is already blocked  Sign in blocked will appear at the top and the icon will read Unblock this user.,,,,,, Technological controls→Secure authentication (A.8.5) ,,
 Dismissed,M365,Yahav - Test OAuth,MFA,High,10,10/33,MFA for Admin Users [Entra ID],MFA is not turned on for all administrative accounts,Multifactor authentication requires an individual to present a minimum of two separate forms of authentication before access is granted. Multifactor authentication provides additional assurance that the individual attempting to gain access is who they claim to be. With multifactor authentication  an attacker would need to compromise at least two different authentication mechanisms  increasing the difficulty of compromise and thus reducing the risk.. The referred roles are out-of-the-box administrators with "write" permissions  meaning has the word "administrators" in the role name. Note: P1 or P2 licensing is required for this security check to run. ,Make sure each affected admin user adds a sign-in method through https://mysignins.microsoft.com/security-info, Security→Procedures→"Identification and authentication of users" (S3.2.b) , Logical and Physical Access Controls→...logical access security software  infrastructure  and architectures over protected information assets... (CC6.1) , Technical safeguards→Person or Entity Authentication (164.312(d)) , Access control→System and application access control→Secure log-on procedures (A.9.4.2) , Identity & Access Management→Strong Authentication (IAM-14) , Technological controls→Secure authentication (A.8.5) , ATCS→Identity Management→Configuring Information Resources Based on Established Secure Baselines. (ATCS-165) ,
 Dismissed,Jira,Test,Access Control,Medium,5,5/12,Inactive Admins,There are never logged-in users or inactive users for more than 180 days,Inactive admins should be deactivated - Inactive accounts may appear docile but they can cause damages to an organization  especially when they are not disabled or removed. Outside intruders trying to hack into an organization can use these accounts as their activities will go unnoticed. Also  employees who quit the organization can misuse their login credentials to access resources.. Check only applies to users who did not use SSO to log in. ,In the Atlassian organization administration - Directory - "Users" - review the Affected list and remove inactive admins, Security→Procedures→"...enable authorized access and to prevent unauthorized access..." (S3.10) ;  Security→Procedures→"Restriction of access to system configurations  superuser functionality  master passwords  powerful utilities and security devices" (S3.2.g) , System Operations→...the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities... (CC7.1) ;  Logical and Physical Access Controls→...logical access security software  infrastructure  and architectures over protected information assets... (CC6.1) ,,,,,,
 Dismissed,Teams,Staging,Data Leakage Protection,Medium,9,9/9,Screen Sharing (User Level),In meetings organized by affected users  screen sharing mode is set to the entire screen,Based on the meeting policy assigned to users  screen sharing mode - can be sharing specific single application  the entire screen or disable screen sharing,Affected users are assigned with a meeting policy that allows sharing the entire screens.. In Teams admin center - Users  select the affected users - Policies - Meeting policyand assign a meeting policy that disables this setting. Alternatively  you can change the policy settings: In Teams admin center - Meetings - Meeting policies - select affected policy- Content sharing - Screen sharing mode - and based on our preference  select either "Single application" or "Not enabled".. If any of the following policies are on the affected list  assign another policy that disables this setting:. .   Tag:AllOn.   Tag:Default.   Tag:RestrictedAnonymousAccess.   Tag:AllOff.   Tag:Kiosk.   Tag:RestrictedAnonymousNoRecording.   Tag:EduStudent.   Tag:EduFaculty. . , Confidentiality→Procedures→"...provide that issues of noncompliance with defined confidentiality ... are promptly addressed" (C3.15) , System Operations→...the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities... (CC7.1) ,,,,,,
 Dismissed,M365,Yahav - Test OAuth,Auditing,Medium,12,12/12,Mailbox Admin Audit [Exchange],Not all recommended actions are audited for mailboxes that were created 14 days,By turning on mailbox auditing  Microsoft 365 back office teams can track logons to a mailbox as well as what actions are taken while the user is logged on. After you turn on mailbox audit logging for a mailbox  you can search the audit log for mailbox activity. . In Admin Audit  the mailbox is searched with one of the following Microsoft eDiscovery tools:. .   Content Search in the compliance portal..   eDiscovery or eDiscovery (Premium) in the compliance portal..   In-Place eDiscovery in Exchange Online..   The mailbox is accessed by using the Microsoft Exchange Server MAPI Editor.. ,.   Run Microsoft Exchange Online PowerShell Module..   Connect using Connect-ExchangeOnline..   Run the following PowerShell commands:. . Install-Module -Name ExchangeOnlineManagement;. Import-Module ExchangeOnlineManagement;. Connect-ExchangeOnline -Credential $LiveCred;. $AuditAdmin = @("Copy"  "Create"  "FolderBind"  "HardDelete"  "Move"  "MoveToDeletedItems"  "SendAs"  "SendOnBehalf"  "SoftDelete"  "Update"  "UpdateCalendarDelegation"  "UpdateFolderPermissions"  "UpdateInboxRules"  "RecordDelete"  "ApplyRecord"). . Get-Mailbox -ResultSize Unlimited -Filter {RecipientTypeDetails -eq "UserMailbox" -or RecipientTypeDetails -eq "SharedMailbox" -or RecipientTypeDetails -eq "RoomMailbox" -or RecipientTypeDetails -eq "DiscoveryMailbox"} | Set-Mailbox -AuditEnabled $true -AuditLogAgeLimit 180 -AuditAdmin $AuditAdmin, Security→Monitoring→"process to identify and address potential impairments..." (S4.2) , Logical and Physical Access Controls→...logical access security software  infrastructure  and architectures over protected information assets... (CC6.1) ,, Operations Security→Logging and monitoring→Event logging (A.12.4.1) ;  Operations Security→Logging and monitoring→Administrator and operator logs (A.12.4.3) , Logging & Monitoring→Logging Scope (LOG-07) ;  Logging & Monitoring→Log Records (LOG-08) , Technological controls→Logging  (A.8.15) ;  Technological controls→Monitoring activities  (A.8.16) ,,
 Dismissed,M365,Yahav - Test OAuth,Auditing,Medium,12,12/12,Mailbox Delegate Audit [Exchange],Not all recommended actions are audited for mailboxes that were created 14 days,By turning on mailbox auditing  Microsoft 365 back office teams can track logons to a mailbox as well as what actions are taken while the user is logged on. After you turn on mailbox audit logging for a mailbox  you can search the audit log for mailbox activity. . Delegate Audit covers logs performed by:. .   A user who's been assigned the SendAs  SendOnBehalf  or FullAccess permission to another mailbox..   An admin who's been assigned the FullAccess permission to a user's mailbox.. ,1. Run Microsoft Exchange Online PowerShell Module.. 2. Connect using Connect-ExchangeOnline.. 3. Run the following PowerShell commands:. . $AuditDelegate = @("Create"  "FolderBind"  "SendAs"  "SendOnBehalf"  "SoftDelete"  "HardDelete"  "Update"  "Move"  "MoveToDeletedItems"  "UpdateFolderPermissions"). . Get-Mailbox -ResultSize Unlimited -Filter {RecipientTypeDetails -eq "UserMailbox" -or RecipientTypeDetails -eq "SharedMailbox" -or RecipientTypeDetails -eq "RoomMailbox" -or RecipientTypeDetails -eq "DiscoveryMailbox"} | Set-Mailbox -AuditEnabled $true -AuditLogAgeLimit 180 -AuditDelegate $AuditDelegate, Security→Monitoring→"process to identify and address potential impairments..." (S4.2) , Logical and Physical Access Controls→...logical access security software  infrastructure  and architectures over protected information assets... (CC6.1) ,, Operations Security→Logging and monitoring→Event logging (A.12.4.1) , Logging & Monitoring→Logging Scope (LOG-07) ;  Logging & Monitoring→Log Records (LOG-08) , Technological controls→Logging  (A.8.15) ;  Technological controls→Monitoring activities  (A.8.16) ,,
 Dismissed,M365,Yahav - Test OAuth,Auditing,Medium,0,0/12,Mailbox Auditing [Exchange],Global mailbox auditing is disabled  and some mailboxes are not set to audit.,Enabling mailbox auditing is crucial for security as it tracks all actions taken in a mailbox. Without it  attackers can access and manipulate mailboxes without detection. If mailbox auditing is not enabled  attackers can exploit this to cover their tracks  making it difficult to trace unauthorized access and actions.. This security check first verifies the global audit configuration of the organization. If global auditing is disabled  it then checks individual mailbox audit settings. According to Microsoft's documentation  when global auditing is enabled  individual mailbox settings are irrelevant.. Note that there could be scenarios where the global audit setting can be bypassed for specific mailboxes. These cases are alerted in the security check named "Mailbox Audit Bypass [Exchange].". For more details  refer to the Microsoft documentation on mailbox auditing.,If this check fails  it means that the global configuration setting for enabling mailbox audit is disabled. To Enable mailbox auditing globally run the following PowerShell command:. Set-OrganizationConfig -AuditDisabled $false . . , Security→Monitoring→"process to identify and address potential impairments..." (S4.2) , Logical and Physical Access Controls→...logical access security software  infrastructure  and architectures over protected information assets... (CC6.1) ,, Operations Security→Logging and monitoring→Event logging (A.12.4.1) , Logging & Monitoring→Log Records (LOG-08) ;  Logging & Monitoring→Logging Scope (LOG-07) , Technological controls→Monitoring activities  (A.8.16) ;  Technological controls→Logging  (A.8.15) ,,
